,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,1.6351090617765443e-06
18,1.6351090617765443e-06
19,3.2702181235530886e-06
20,3.2702181235530886e-06
21,4.905327185329633e-06
22,4.905327185329633e-06
23,6.540436247106177e-06
24,6.540436247106177e-06
25,8.17554530888272e-06
26,8.17554530888272e-06
27,9.810654370659266e-06
28,9.810654370659266e-06
29,1.144576343243581e-05
30,1.144576343243581e-05
31,1.144576343243581e-05
32,1.3080872494212354e-05
33,1.3080872494212354e-05
34,1.4715981555988899e-05
35,1.4715981555988899e-05
36,1.635109061776544e-05
37,1.635109061776544e-05
38,1.7986199679541985e-05
39,1.7986199679541985e-05
40,1.9621308741318533e-05
41,1.9621308741318533e-05
42,2.1256417803095077e-05
43,2.1256417803095077e-05
44,2.289152686487162e-05
45,2.289152686487162e-05
46,2.4526635926648165e-05
47,2.4526635926648165e-05
48,2.616174498842471e-05
49,2.616174498842471e-05
50,2.7796854050201256e-05
51,2.7796854050201256e-05
52,2.94319631119778e-05
53,2.94319631119778e-05
54,3.106707217375435e-05
55,3.106707217375435e-05
56,3.2702181235530896e-05
57,3.2702181235530896e-05
58,3.4337290297307446e-05
59,3.4337290297307446e-05
60,3.597239935908399e-05
61,3.597239935908399e-05
62,3.7607508420860535e-05
63,3.7607508420860535e-05
64,3.9242617482637085e-05
65,3.9242617482637085e-05
66,4.087772654441363e-05
67,4.087772654441363e-05
68,4.251283560619018e-05
69,4.251283560619018e-05
70,4.4147944667966725e-05
71,4.4147944667966725e-05
72,4.5783053729743275e-05
73,4.5783053729743275e-05
74,4.741816279151982e-05
75,4.741816279151982e-05
76,4.9053271853296364e-05
77,4.9053271853296364e-05
78,5.0688380915072915e-05
79,5.0688380915072915e-05
80,5.232348997684946e-05
81,5.232348997684946e-05
82,5.395859903862601e-05
83,5.395859903862601e-05
84,5.5593708100402554e-05
85,5.5593708100402554e-05
86,5.7228817162179104e-05
87,5.7228817162179104e-05
88,5.886392622395565e-05
89,5.886392622395565e-05
90,6.04990352857322e-05
91,6.04990352857322e-05
92,6.213414434750874e-05
93,6.213414434750874e-05
94,6.376925340928529e-05
95,6.376925340928529e-05
96,6.540436247106183e-05
97,6.540436247106183e-05
98,6.703947153283839e-05
99,6.703947153283839e-05
100,6.867458059461493e-05
101,6.867458059461493e-05
102,7.030968965639148e-05
103,7.030968965639148e-05
104,7.194479871816802e-05
105,7.194479871816802e-05
106,7.357990777994458e-05
107,7.357990777994458e-05
108,7.521501684172112e-05
109,7.521501684172112e-05
110,7.685012590349767e-05
111,7.685012590349767e-05
112,7.848523496527421e-05
113,7.848523496527421e-05
114,8.012034402705076e-05
115,8.012034402705076e-05
116,8.175545308882731e-05
117,8.175545308882731e-05
118,8.339056215060386e-05
119,8.339056215060386e-05
120,8.50256712123804e-05
121,8.50256712123804e-05
122,8.666078027415695e-05
123,8.666078027415695e-05
124,8.82958893359335e-05
125,8.82958893359335e-05
126,9.156610745948659e-05
127,9.156610745948659e-05
128,9.320121652126314e-05
129,9.320121652126314e-05
130,9.483632558303968e-05
131,9.483632558303968e-05
132,9.810654370659278e-05
133,9.810654370659278e-05
134,9.974165276836933e-05
135,9.974165276836933e-05
136,0.00010137676183014587
137,0.00010137676183014587
138,0.00010301187089192241
139,0.00010301187089192241
140,0.00010464697995369897
141,0.00010464697995369897
142,0.00010791719807725206
143,0.00010791719807725206
144,0.0001095523071390286
145,0.0001095523071390286
146,0.0001128225252625817
147,0.0001128225252625817
148,0.00011772785244791134
149,0.00011772785244791134
150,0.0001193629615096879
151,0.0001193629615096879
152,0.00012099807057146444
153,0.00012099807057146444
154,0.00012263317963324098
155,0.00012263317963324098
156,0.00012426828869501754
157,0.00012426828869501754
158,0.00012590339775679407
159,0.00012590339775679407
160,0.0001291736158803472
161,0.0001291736158803472
162,0.00013080872494212372
163,0.00013080872494212372
164,0.00013244383400390028
165,0.00013244383400390028
166,0.0001340789430656768
167,0.0001340789430656768
168,0.00013571405212745336
169,0.00013571405212745336
170,0.00013734916118922992
171,0.00013734916118922992
172,0.00013898427025100645
173,0.00013898427025100645
174,0.00014225448837455954
175,0.00014225448837455954
176,0.0001438895974363361
177,0.0001438895974363361
178,0.00014552470649811266
179,0.00014552470649811266
180,0.00014715981555988919
181,0.00014715981555988919
182,0.00014879492462166574
183,0.00014879492462166574
184,0.00015043003368344227
185,0.00015043003368344227
186,0.00015206514274521883
187,0.00015206514274521883
188,0.00015533536086877192
189,0.00015533536086877192
190,0.00015697046993054848
191,0.00015697046993054848
192,0.000158605578992325
193,0.000158605578992325
194,0.00016024068805410157
195,0.00016024068805410157
196,0.00016187579711587812
197,0.00016187579711587812
198,0.00016351090617765465
199,0.00016351090617765465
200,0.0001651460152394312
201,0.0001651460152394312
202,0.0001684162333629843
203,0.0001684162333629843
204,0.0001716864514865374
205,0.0001716864514865374
206,0.00017332156054831395
207,0.00017332156054831395
208,0.0001749566696100905
209,0.0001749566696100905
210,0.00017659177867186703
211,0.00017659177867186703
212,0.0001782268877336436
213,0.0001782268877336436
214,0.00017986199679542012
215,0.00017986199679542012
216,0.00018149710585719668
217,0.00018149710585719668
218,0.00018313221491897324
219,0.00018313221491897324
220,0.00018476732398074977
221,0.00018476732398074977
222,0.00018967265116607941
223,0.00018967265116607941
224,0.00019130776022785597
225,0.00019130776022785597
226,0.0001929428692896325
227,0.0001929428692896325
228,0.00019457797835140906
229,0.00019457797835140906
230,0.00019621308741318562
231,0.00019621308741318562
232,0.00019784819647496215
233,0.00019784819647496215
234,0.0001994833055367387
235,0.0001994833055367387
236,0.0002027535236602918
237,0.00020438863272206832
238,0.00020438863272206832
239,0.00020765885084562136
240,0.00020765885084562136
241,0.0002092939599073979
242,0.0002092939599073979
243,0.00021256417803095095
244,0.00021256417803095095
245,0.00021583439615450398
246,0.00021583439615450398
247,0.00021746950521628051
248,0.00021746950521628051
249,0.00022073972333983355
250,0.00022073972333983355
251,0.00022237483240161008
252,0.00022237483240161008
253,0.0002240099414633866
254,0.0002240099414633866
255,0.00022564505052516314
256,0.00022564505052516314
257,0.0002305503777104927
258,0.0002305503777104927
259,0.0002305503777104927
260,0.00023218548677226924
261,0.00023218548677226924
262,0.00023545570489582227
263,0.00023545570489582227
264,0.0002370908139575988
265,0.0002370908139575988
266,0.00023872592301937533
267,0.00023872592301937533
268,0.00024036103208115186
269,0.00024036103208115186
270,0.0002419961411429284
271,0.0002419961411429284
272,0.0002436312502047049
273,0.0002436312502047049
274,0.0002452663592664814
275,0.0002452663592664814
276,0.0002485365773900345
277,0.0002485365773900345
278,0.000250171686451811
279,0.000250171686451811
280,0.000253441904575364
281,0.000253441904575364
