v1,city,date,numberofdates,obs,labels,labels1,auc_1,avprecision1to1_1,avprecision_1,auc_sp,avprecision1to1_sp,avprecision_sp,auc_full,avprecision1to1_full,avprecision_full,auc_temp,avprecision1to1_temp,avprecision_temp,auc_full1l,avprecision1to1_full1l,avprecision_full1l,,share destroyed
0,all,alldates,61,3072752,2206591,51070,0.856964946,0.856577516,0.244970217,0.871828318,0.870975852,0.287336826,0.906771898,0.910286129,0.42524153,0.898294985,0.903443456,0.403422683,0.896692991,0.898339391,0.373051643,,0.022620757
0,aleppo,alldates,22,2106412,1597229,29691,0.860490382,0.8521685,0.160690114,0.876816213,0.86582166,0.168934524,0.915034831,0.91511333,0.357034922,0.904247642,0.905592918,0.332095414,0.905802608,0.90274471,0.282867044,,0.018249822
0,daraa,alldates,13,202462,123981,1250,0.779921889,0.755751193,0.042234078,0.782886505,0.762634456,0.045805424,0.890053391,0.87428695,0.116719902,0.88593024,0.865308702,0.099921808,0.868898928,0.852947414,0.094162785,,0.009981554
0,deir-ez-zor,alldates,7,98602,82299,2424,0.758850574,0.753349781,0.110297434,0.766293347,0.763716459,0.12094035,0.800238132,0.813393176,0.216932848,0.788651586,0.801361263,0.199905336,0.788539708,0.796641529,0.183591515,,0.028610885
0,hama,alldates,9,285057,215998,8367,0.881908357,0.901753426,0.544804811,0.898848295,0.91819483,0.651813626,0.909953892,0.927558601,0.680484474,0.900878847,0.920621216,0.647274554,0.90710032,0.925157905,0.674551427,,0.037291913
0,homs,alldates,5,200035,77008,6933,0.729464829,0.739178956,0.257555038,0.772474051,0.791490257,0.349161655,0.856548846,0.876552761,0.552006364,0.847333193,0.8702268,0.543932021,0.810992718,0.832148492,0.443114847,,0.082620302
0,raqqa,alldates,8,180184,110076,2405,0.789911032,0.787475169,0.127803206,0.829001725,0.829379618,0.173513308,0.875524282,0.886424959,0.320575178,0.853053033,0.866929352,0.273596644,0.854047656,0.858431339,0.213713199,,0.019635699
